Barcode,OCRText,State,Species
3353167,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3 4 5 6 7 8
9
10
HERBARIUM
Wellesley College
13791
HERBARIUM
---OF-
Wellesley College.
NEW YORK BOTANICAL GARDEN
03353167
P
es
Wellesley College
Herbarlum (WELC)
bonated to NYin 1988
hana hult.
uur triovulata Brand
Kren
NEW MEXICO.
COLLECTED IN THE ORGAN MOUNTAINS, DONA ANA CO.
BY E.O. WOOTON.
NEW YORK
BOTANICAL
GARDEN
447. Phlox triovulata Thurb.
ALTITUDE, 6000 FEET.
SEPTEMBER 4, 1897
",New Mexico,Phlox triovulata
3161951,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3
4 5 6
7 8
9
10
NEW YORK BOTANICAL GARDEN
03161951
FLORA OF NORTH AMERICA
Cerastium beeringianum Cham. & Schlecht.
J.K. Morton
1995
NEW YORK BOTANICAL GARDEN
03161950
FLORA OF NORTH AMERICA
Cerastium glomeratum Thuill.
J.K. Morton
1994
los
Hayden's U. S. Geological Survey, 1873.
3069
Ex Herb.
JOHN M. COULTER.
30ro
COLORADO TERRITORY.
Wabash Coll. Herbarium (WAB)
Donated to NY in 1987
Name.
Cerastium vulgatum, ar,
Cerastiu elgotun,
Petale a little longer than ita Calyx -
NEW YORK
BOTANICAL
GARDEN
har Mt. Lincoln. El. 10000ft.
Loc. Hauonei,
and -
Jull, Coulter
Coll. J. M. COULTER,
Julgis
Coll.
Date. 4-21-44
",Colorado,Cerastium glomeratum
1678699,"0 1 2 3 4 5 6 7 8 9 10
cm
copyright reserved
THE NEW YORK
BOTANICAL GARDEN
YORK
NEW
BOTANICAL
COLORADO PLANTS
from the neighborhood of Pike's Peak
Mgropyron riskerarm (Normend
barem Armitain talls 15794
July 13 2005
Coll: Ernst A. Bessey
New York Botanical Garden
1678699
",Colorado,Mgropyron riskerarm
3182797,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3
4 5
6
7
8
9
10
fk
NEW YORK
BOTANICAL GARDEN,
Descurcinia jonnata vam glabra (Wooten & Standi) Shinners
PLANTS OF ARIZONA.
COLLECTED IN THE VICINITY OF FLAGSTAFF
BY DR. D. T. MACDOUGAL.
133. Sophia halictorum Cockerell.?
NEW YORK BOTANICAL GARDEN
Altitude, 7000 feet,
June 18, 1898
03182797
",Arizona,Sophia halictorum
2854658,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1.
2 3 4 5
6 7 8 9
10
NEW YORK BOTANICAL GARDEN.
HERBARIUM OF DR. PER AXEL RYDBERG.
PURCHASED, 1899.
YORK
NEW
BOTANICAL
GARDEN
NEW YORK BOTANICAL GARDEN
Examined for
HORTH AMERICAN FLORX
02854658
  
Roza Diamond bropin
R. Sayi Sehweinig
Herbarium of P. A. RYDBERG
BILTMORE HERBARIUM.
Colorado Expedition.
No. 1
Locality, botonwood Love'
Roca Mutkana Preet.
Date,
1896.
",Colorado,Roca Mutkana
2844040,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1 2
3 4 5
6 7 8
9 10
YORK
NEW
BOTANICAL
CARDEN
Examined for
NORTH AMERICAN FLORA
FLORA OF COLORADO
NO.
Potentilla unia
Boreas- 2.13000
24 July 1897
flora Ledeb.
C. S. CRANDALL,
00
From Herb. State Agric. College, Colo.
NEW YORK BOTANICAL GARDEN
02844040
30s
",Colorado,Potentilla unia
2827745,"THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3 4 5 6 7 8
9 10
YORK
NEW
BOTANICAL
GARDEN
UC Davis Herbarium
Physocarpus monogynus (Torr.) J. M.
Coult.
Sang-Hun Oh, Sept 2002
Examined for
NORTH AMERICAN FLORA
COLORADO PLANTS
from the neighborhood of Pike's Peak
Opalaikes monoparno Tom
Sandy side
& Moelmam Carne
July 16 roce
Coll Ernst A. Bessey
NEW YORK BOTANICAL GARDEN
02827745
",Colorado,Physocarpus monogynus
2582985,"COLLEGE OF PRACY HER31175
THE NEW YORK BOTANICAL SARDEN
THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3
4 5 6
7 8
9
10
DEPOSITED 194.33
Powell's Colorado Exploring Expedition, 1868.
Rocky Mountains, Lat. 40-41
Dr. GEO. VASEY, Botanist.
Hosachin Puthiaua, Pad
NEW YORK BOTANICAL GARDEN
116
02582985
",Colorado,Hosachin Puthiaua
3076837,"CARDEN
THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1.
2
3 4 5 6 7 8 9 10
VORK
BOTANICAL
AN
AT
Oh! J.L. Reveal
 /
PLANTS OF NORTH COLORADO
COLLECTED BY CARL F.BAKER.
NEW YORK BOTANICAL GARDEN
Eriogorum
notlivibecome effuerant
03076837
LOC.
Sort
Collins
DATE 8-25-96 ALTITUDE O Boy FT.
NEW YORK BOTANICAL GARDEN
HERBARIUM OF MR. F. S. EARLE
PURCHASED 1902
",Colorado,"Eriogorum
notlivibecome"
3081445,"
THE NEW YORK
BOTANICAL GARDEN copyright reserved
Ocm 1
2
3 4 5 6 7 8
9
10
NEW YORK BOTANICAL GARDEN
NEW YORK BOTANICAL GARDEN
Wabash Coll. Herbarium (WAB)
Donated to NY in 1987
3,3
03081445
us
03081446
Hayden's U. S. Geological Survey, 1873.
2
COLORADO TERRITORY.
9941
Senesio Erenakhilus, Rich.
9948
Hayden's U. S. Geological Survey, 1873.
UINTA MOUNTAINS, UTAH TERRITORY.
Senecio
Richard
emophilus
eremo
Taylor
nier,
NEW
YORK
Augs.
BOTANICAL
GARDEN
Coll. J. M. COULTER.
Coll.THOS, C, PORTER-
July 28, 1873.
313
)
",Colorado,Senesio Erenakhilus